_id,definicion,etimologia,palabra
615e77c994ee91f2ad612845,"separar, poner lejos.","(<em>ab</em>: separación; <em>laxus -a -um</em>: amplio, holgado, flojo; <em>-ar</em>: sufijo verbal)",alejar
615e77c994ee91f2ad612854,compuestos orgánicos constituidos por carbono e hidrógeno cuyo carácter es no-aromático.,(ἄλειφα -ατος: aceite para ungirse; -τος -η -ον: forma adjetivos; -ικός -ή -όν: relativo a),alifático
615e77c994ee91f2ad61287b,célula nerviosa sin axón.,"(α: negación; μακρός -ά -όν: largo, grande; ἴς, ἰνός: tendón, nervio)",amacrina
615e77c994ee91f2ad612885,que usa la mano izquierda igualmente que la derecha. También ambidiestro.,(<em>ambi: </em>ambos; <em>dexter -tra -trum</em>: derecho),ambidextro
615e77c994ee91f2ad612890,del parásito hospedado todo su ciclo de vida.,(α: negación; μετά: en medio de; οἰκός -οῦ: casa),ametoico
615e77c994ee91f2ad6128a2,"división indirecta de la célula, sin formación de filamentos. Antónimo mitosis<em>.</em>","(α: negación; μίτος -ου: hilo, filamento; -σις: acción)",amitosis
615e77c994ee91f2ad6126d5,tener aversión a una persona o cosa.,(<em>ab</em>: intensificación; <em>horresco -is -ere: </em>erizarse < <em>horreo -es -ere</em>: estar erizado),aborrecer
615e77c994ee91f2ad6126df,"que excluye toda relación, independiente, sin restricción.","(<em>ab</em>: separación; participio pasivo de <em>solvo -is -ere -vi, solutum</em>: disolver)",absoluto
615e77c994ee91f2ad612708,"líquido volátil, incoloro, de olor característico, usado como disolvente, aparece en la orina de diabéticos y otros enfermos.",(<em>acetum -i:</em> vinagre <em>< aceo -es -ere</em>: estar agrio; <em>-ona:</em> compuesto),acetona
615e77c994ee91f2ad612710,vena impar a lo largo del raquis.,"(α: negación; ζυγός -οῦ: yugo, pareja)",ácigo
615e77c994ee91f2ad61272c,"vasija para llevar el vino no mezclado, es decir, puro.","(α: negación; κρατήρ -ῆρος: crátera, vaso grande < κεράννυμι: mezclar; φορός -όν: que lleva hacia adelante ˂ φέρω: llevar)",acratóforo
615e77c994ee91f2ad61273a,dolor en las extremidades.,(ἄκρος -α -ον: extremo; αἴσθησις -εως: sensación; -ια: forma sustantivos),acroestesia
615e77c994ee91f2ad61273f,cristal o instrumento óptico que da la imagen de los objetos sin los colores del arco iris.,(α: negación; χρῶμα -ατος: color; -ικός -ή -όν: relativo a),acromático
615e77c994ee91f2ad61275f,"pintura con colores diluidos en agua, se ejecuta sobre el papel, cartón o madera.",(italiano<em> acquarella < aqua -ae</em>: agua),acuarela
615e77c994ee91f2ad612789,"parte glandular, no neuronal, de la hipófisis que segrega numerosas hormonas.","(ἀδήν -ένος: glándula; ὑπό: debajo; φύσις, φύσεως: naturaleza, acción de brotar < φύω: brotar; -σις: acción)",adenohipófisis
615e77c994ee91f2ad6127a5,adherirse a una opinión o doctrina porque se desea.,(<em>ad:</em> intensificación; <em>opto -are</em>: desear),adoptar
615e77c994ee91f2ad6127aa,inscribir; atribuir algo a una persona o cosa; agregar una persona al servicio de algo.,(<em>ad:</em> cercanía; <em>scribo -is -ere</em>: escribir),adscribir
615e77c994ee91f2ad6127af,aparato que funciona por aire y agua combinados.,"(ἀήρ, ἀέρος: aire; ὗδωρ, ὕδρατος: agua; -ικός -ή -όν: relativo a)",aerhídrico
615e77c994ee91f2ad6127ca,parte de la mecánica que estudia el equilibrio de los gases.,"(ἀήρ, ἀέρος: aire; στατός -ή -όν: parado, adjetivo verbal de ἵστημι: poner en pie; -ική: ciencia de)",aerostática
615e77c994ee91f2ad6127cf,"hacer famoso, dar fama.",(<em>ad</em>: cercanía; <em>fama -ae</em>: fama; -<em>ar</em>: sufijo verbal),afamar
615e77c994ee91f2ad6127d2,pérdida del habla a consecuencia de una perturbación cerebral.,(α: negación; φάσις -εως: palabra < φημί: decir; -ια: forma sustantivos),afasia
615e77c994ee91f2ad6127d3,punto en que un planeta dista más del sol.,(ἀπό: separación; ἥλιος -ου: sol),afelio
615e77c994ee91f2ad6127d5,supresión de sonido o sonidos al principio de la palabra.,(ἀπό: lejos de; αἱρέω: quitar; -σις: acción),aféresis
615e77c994ee91f2ad6127e5,"pequeña vesícula como úlcera, dolorosa, desarrollada en la boca o genitales.","(ἄφθα -ης: afta, úlcera)",afta
615e77c994ee91f2ad6127e6,ausencia de secreción de leche tras el parto.,"(α: negación; γάλα, γαλάκτος: leche; -ια: forma sustantivos)",agalactia
615e77c994ee91f2ad6127e9,reprodución asexual. También agamogonía.,"(α: negación; γάμος -ου: matrimonio; γονή -ῆς: acción de engendrar ˂ γένος -εος: origen, nacimiento; -ια: forma sustantivos)",agamogonia
615e77c994ee91f2ad6127f2,constituyente de la aglutinina con propiedad aglutinante.,(<em>agglutino -are</em>: acumular < <em>ad:</em> cercanía; <em>glutino -are</em>: pegar; φορός -όν: que lleva ˂ φέρω: llevar),aglutinoforo
615e77c994ee91f2ad6127f5,doctrina filosófica que considera inaccesible al entendimiento humano lo absoluto o supone que se ignora cuanto no se halla al alcance de los sentidos.,"(α: negación; γνωστός -ή -όν: comprensible, adjetivo verbal de γιγνώσκω: conocer; -ισμός: doctrina)",agnosticismo
615e77c994ee91f2ad6127f7,que no tiene rodilla.,"(α: negación; γόνυ, γόνατος: rodilla)",agónato
615e77c994ee91f2ad6127ff,"sentir o mostrar gratitud, dar gracias; corresponder una cosa al trabajo empleado en conservarla o mejorarla.",(antiguo <em>gradecer < ad: </em>intensificación; <em>gratus -a -um</em>: grato; <em>-ecer</em>: verbo incoactivo),agradecer
615e77c994ee91f2ad612802,conjunto de intereses referentes a la explotación agraria; defensa de los intereses de las clases productoras agrícolas.,"(<em>ager, agri</em>: campo; -ισμός: doctrina)",agrarismo
615e77c994ee91f2ad612815,"cuando los puntos se someten a formar parte de un todo y trabajan en conjunto, se originan los agrupamientos por semejanza, proximidad y completamiento.","(<em>ad</em>: hacia; italiano<em> gruppo</em>: grupo, nudo; -<em>ar</em>: sufijo verbal; <em>-miento</em>: medio)",agrupamiento
615e77c994ee91f2ad61281a,"hiriente, agudo, penetrante, fino, sutil","(<em>acutus -a -um</em>: puntiagudo < participio pasivo de <em>acuo -is -ere</em>: volver puntiagudo, agudizar < <em>acer, acris, acre</em>: agudo, afilado, punzante)",agudo
615e77c994ee91f2ad61281d,"iracundo, encolerizado, ardoroso; depravado, perverso.","(<em>aer, aeris</em>: aire; -<em>do</em>: sujeto pasivo)",airado
615e77c994ee91f2ad61281e,poner al aire o ventilar.,"(<em>aer, aeris</em>: aire; -<em>ar</em>: sufijo verbal)",airar
615e77c994ee91f2ad612820,"con resultado favorable, con éxito; tiempo o sitio de mucho aire.","(<em>aer, aeris</em>: aire; -<em>osus -a -um</em>: abundancia)",airoso
615e77c994ee91f2ad612828,"producto de eliminación del metabolismo nitrogenado, derivado del ácido úrico, presente en el líquido amniótico.","(ἀλλάς -ᾶντος: salchichón, morcilla; -<em>ina</em>: sustancia química)",alantoína
615e77c994ee91f2ad612837,"microorganismos extremófilos que se desarrollan en ambientes con valores de pH comprendidos entre 8,5 y 11.",(del árabe <em>al</em>: el; <em>qali</em>: sosa; φίλος -ου: amigo),alcalófilo
615e77c994ee91f2ad61283c,presencia de alcohol en orina.,"(arabismo <em>al</em>: el;<em> kuhúl</em>: sutil,<em> cosmético de polvos de antimonio</em>; οὖρον -ου: orina; -ια: forma sustantivos)",alcoholuria
615e77c994ee91f2ad612843,"término usado en geometría descriptiva, para indicar la distancia de un punto al plano vertical.","(<em>ab</em>: separación; <em>laxus -a -um</em>: amplio, holgado, flojo; -<em>miento</em>: medio)",alejamiento
615e77c994ee91f2ad612866,tipo de especiación debida a la separación por barreras físicas como el aislamiento geográfico.,"(ἄλλος -η -ο: otro; πατήρ, πατρός: padre, autor; -ικός -ή -όν: relativo a)",alopátrico
615e77c994ee91f2ad612891,irregularidad de refracción en el aparato bióptrico del ojo. En ella se incluyen la miopía y la hipermetropía.,"(α: negación; μέτρον -ου: medida; ὤψ, ὠπός: vista, cara; -ια: forma sustantivos)",ametropía
615e77c994ee91f2ad612896,extirpación quirúrgica de las amígdalas.,(ἀμυγδάλη -ης: almendra; ἐκ: separación; τομή -ῆς: corte; -ια: forma sustantivos),amigdalectomía
615e77c994ee91f2ad61289b,Sinónimo leucoplasto.,"(ἄμυλον -ου: almidón ˂ α: negación; μύλη -ης: muela de molino, muela, molar; λευκός -ή -όν: blanco; -ιτης: que hace)",amiloleucito
615e77c994ee91f2ad6126db,"cuarto mes del año Juliano y Gregoriano y es uno de los cuatro meses de 30 días; se asocia a la primavera que abre la tierra, las flores, etc. La piedra de abril es el diamante, y su flor, la margarita.","(<em>aperio -ire, aperui, apertum</em>: abrir)",abril
615e77c994ee91f2ad6126e0,sorber hasta la última gota.,(<em>ab</em>: intensificación; <em>sorbeo -es -ere</em>: sorber),absorber
615e77c994ee91f2ad6126e2,"contener o refrenar, apartar; no participar en algo a que se tiene derecho; privarse de algo.","(<em>ab</em>: negación; <em>teneo -es -ere</em>: tener, retener)",abstener
615e77c994ee91f2ad6126e6,fallo de la relajación del esfínter esofágico interior.,(α: negación; χάλασις -εως: relajación; -ια: forma sustantivos),acalasia
615e77c994ee91f2ad612741,incapacidad de distinguir colores.,"(α: negación; χρῶμα -ατος: color; ὄψις, ὄψεως: visión, rostro; -ια: calidad)",acromatopsia
615e77c994ee91f2ad612742,ausencia de color en la orina.,(α: negación; χρῶμα -ατος: color; οὖρον -ου: orina; -ια: forma sustantivos),acromaturia
615e77c994ee91f2ad612790,"sustancia constituida por adenina y ribosa. Sus derivados ATP, adenosintrifosfato, AMP, adenosinmonofosfato y ADP, adenosindifosfato, intervienen en importantes procesos celulares.",(ἀδήν -ένος: glándula; -<em>osa</em>: glúcido; -<em>ina</em>: sustancia química; <em>aldopentosa presente en algunos ácidos nucleicos</em>),adenosina
615e77c994ee91f2ad612791,hacia o en el interior.,(<em>ad:</em> hacia; <em>intro</em>: dentro),adentro
615e77c994ee91f2ad612795,acción y efecto de agregar; operación de sumar.,"(participio pasivo de<em> addare </em><<em> ad</em>: cercanía; <em>do -are, dedi, datum</em>: dar; <em>-io</em><em>n</em>: llevar a cabo)",adición
615e77c994ee91f2ad6127b4,vida en un ambiente con oxígeno o aire.,"(ἀήρ, ἀέρος: aire; βίος -ου: vida; -σις: acción)",aerobiosis
615e77c994ee91f2ad6127bf,adivinación por señales e impresiones en el aire.,"(ἀήρ, ἀέρος: aire; μαντεία -ας: adivinación)",aeromancia
615e77c994ee91f2ad6127ee,quien actúa por otro.,"(participio presente de <em>ago -is -ere</em>: hacer <em>< </em>ἄγω: mover, conducir)",agente
615e77c994ee91f2ad6127f0,descripción del aparato circulatorio.,(ἄγγος -εος: vaso; -ῖον: forma diminutivos; γράφω: escribir; -ια: forma sustantivos),agiografía
615e77c994ee91f2ad612805,"ofender, dañar, perjudicar.",(<em>ad: </em>intensificación; <em>gravo -are</em>: pesar ˂ <em>gravis -e</em>: pesado),agraviar
